week,hour,load_MW,solar_MW,wind_MW,netload_MW
minnet,70,2009.0,0.0,121.8,1887.2
minnet,71,1837.5,0.0,142.0,1695.5
minnet,72,1715.0,0.0,139.9,1575.1
minnet,73,1617.0,0.0,113.0,1504.0
minnet,74,1543.5,0.0,166.9,1376.6
minnet,75,1494.5,0.0,144.1,1350.4
minnet,76,1494.5,0.0,152.2,1342.3
minnet,77,1543.5,0.0,114.2,1429.3
minnet,78,1666.0,0.0,148.2,1517.8
minnet,79,1837.5,145.4,108.3,1583.8
minnet,80,2009.0,264.4,107.6,1637.0
minnet,81,2107.0,357.0,77.2,1672.8
minnet,82,2156.0,423.1,90.1,1642.8
minnet,83,2180.5,462.8,82.5,1635.2
minnet,84,2156.0,476.0,78.5,1601.5
minnet,85,2107.0,462.8,86.3,1557.9
minnet,86,2058.0,423.1,79.5,1555.3
minnet,87,2033.5,357.0,96.8,1579.7
minnet,88,2082.5,264.4,76.7,1741.4
minnet,89,2205.0,145.4,73.8,1985.8
minnet,90,2327.5,0.0,97.7,2229.8
minnet,91,2450.0,0.0,117.0,2333.0
minnet,92,2352.0,0.0,136.2,2215.8
minnet,93,2205.0,0.0,137.5,2067.5
minnet,94,2009.0,0.0,102.0,1907.0
minnet,95,1837.5,0.0,144.4,1693.1
minnet,96,1715.0,0.0,167.2,1547.8
minnet,97,1617.0,0.0,146.2,1470.8
minnet,98,1543.5,0.0,136.7,1406.8
minnet,99,1494.5,0.0,148.5,1346.0
minnet,100,1494.5,0.0,130.6,1363.9
minnet,101,1543.5,0.0,143.7,1399.8
minnet,102,1666.0,0.0,125.2,1540.8
minnet,103,1837.5,145.4,140.3,1551.7
minnet,104,2009.0,264.4,116.5,1628.0
minnet,105,2107.0,357.0,87.4,1662.6
minnet,106,2156.0,423.1,102.0,1630.9
minnet,107,2180.5,462.8,101.3,1616.4
minnet,108,2156.0,476.0,71.5,1608.5
minnet,109,2107.0,462.8,71.6,1572.7
minnet,110,2058.0,423.1,39.9,1595.0
minnet,111,2033.5,357.0,96.1,1580.4
minnet,112,2082.5,264.4,75.4,1742.6
minnet,113,2205.0,145.4,55.9,2003.7
minnet,114,2327.5,0.0,69.4,2258.1
minnet,115,2450.0,0.0,103.9,2346.1
minnet,116,2352.0,0.0,129.3,2222.7
minnet,117,2205.0,0.0,123.5,2081.5
minnet,118,2009.0,0.0,140.6,1868.4
minnet,119,1837.5,0.0,120.3,1717.2
minnet,120,1509.2,0.0,120.6,1388.6
minnet,121,1423.0,0.0,160.2,1262.7
minnet,122,1358.3,0.0,153.5,1204.8
minnet,123,1315.2,0.0,142.3,1172.8
minnet,124,1315.2,0.0,159.9,1155.3
minnet,125,1358.3,0.0,116.0,1242.3
minnet,126,1466.1,0.0,117.2,1348.9
minnet,127,1617.0,145.4,132.9,1338.6
minnet,128,1767.9,264.4,137.7,1365.7
minnet,129,1854.2,357.0,98.5,1398.6
minnet,130,1897.3,423.1,119.1,1355.1
minnet,131,1918.8,462.8,74.7,1381.4
minnet,132,1897.3,476.0,86.1,1335.1
minnet,133,1854.2,462.8,75.6,1315.7
minnet,134,1811.0,423.1,52.2,1335.8
minnet,135,1789.5,357.0,85.7,1346.7
minnet,136,1832.6,264.4,101.7,1466.4
minnet,137,1940.4,145.4,90.0,1704.9
minnet,138,2048.2,0.0,99.2,1949.0
minnet,139,2156.0,0.0,132.3,2023.7
minnet,140,2069.8,0.0,96.8,1973.0
minnet,141,1940.4,0.0,101.0,1839.4
minnet,142,1767.9,0.0,122.6,1645.3
minnet,143,1617.0,0.0,119.5,1497.5
minnet,144,1509.2,0.0,166.2,1343.0
minnet,145,1423.0,0.0,150.7,1272.3
minnet,146,1358.3,0.0,130.5,1227.7
minnet,147,1315.2,0.0,132.0,1183.2
minnet,148,1315.2,0.0,185.6,1129.6
minnet,149,1358.3,0.0,120.7,1237.6
minnet,150,1466.1,0.0,110.3,1355.8
minnet,151,1617.0,145.4,119.5,1352.0
minnet,152,1767.9,264.4,116.3,1387.1
minnet,153,1854.2,357.0,101.0,1396.2
minnet,154,1897.3,423.1,74.6,1399.5
minnet,155,1918.8,462.8,64.6,1391.5
minnet,156,1897.3,476.0,90.2,1331.1
minnet,157,1854.2,462.8,77.6,1313.8
minnet,158,1811.0,423.1,51.5,1336.4
minnet,159,1789.5,357.0,101.6,1330.9
minnet,160,1832.6,264.4,99.9,1468.2
minnet,161,1940.4,145.4,89.5,1705.4
minnet,162,2048.2,0.0,97.2,1951.0
minnet,163,2156.0,0.0,114.1,2041.9
minnet,164,2069.8,0.0,107.5,1962.3
minnet,165,1940.4,0.0,104.7,1835.7
minnet,166,1767.9,0.0,140.0,1627.9
minnet,167,1617.0,0.0,116.1,1500.9
